Codi d'expedient;Codi districte;Nom districte;Codi barri;Nom barri;Codi carrer;Nom carrer;Num postal caption;Descripció dia setmana;Dia setmana;Descripció tipus dia;NK Any;Mes de any;Nom mes;Dia de mes;Hora de dia;Descripció causa vianant;Descripció tipus de vehicle;Descripció model;Descripció marca;Descripció color;Descripció carnet;Antiguitat carnet;Coordenada UTM (Y);Coordenada UTM (X)
2013S000751;6;Gràcia;28;Vallcarca i els Penitents;116901;Esteve Terradas;430 043;Dijous;Dj;Laboral;2013;1;Gener;31;7;No és causa del  vianant;Motocicleta;XC 125;YAMAHA;Gris;A;8;4585229,08;428255,33
2013S000753;2;Eixample;6;la Sagrada Família;90502;Còrsega;5 590 559;Dijous;Dj;Laboral;2013;1;Gener;31;9;No és causa del  vianant;Motocicleta;GS 500 E;SUZUKI;Gris;A;1;4584437,91;430938,04
2013S000756;2;Eixample;5;el Fort Pienc;197302;Marina;1 850 185;Dijous;Dj;Laboral;2013;1;Gener;31;11;No és causa del  vianant;Ciclomotor;GP1 50;DERBI;Blanc;B;1;4583662,11;431547,77
2013S000892;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;197302;Marina;1 000 100;Dimarts;Dm;Laboral;2013;2;Febrer;5;15;No és causa del  vianant;Motocicleta;VS 125;SYM;Negre;B;21;4583025,85;432244,8
2013S000893;7;Horta-Guinardó;35;el Guinardó;365702;Mare de Déu de Montserrat;2 670 267;Dimarts;Dm;Laboral;2013;2;Febrer;5;14;Creuar per fora pas de vianants;Turismo;206;PEUGEOT;Gris;B;15;4586438,7;431257,41
2013S000901;7;Horta-Guinardó;43;Horta;352507;Vall d'Hebron;2 510 251;Dimarts;Dm;Laboral;2013;2;Febrer;5;20;No és causa del  vianant;Turismo;CLIO;RENAULT;Gris;B;7;4588153,68;429929,99
2013S000901;7;Horta-Guinardó;43;Horta;352507;Vall d'Hebron;2 510 251;Dimarts;Dm;Laboral;2013;2;Febrer;5;20;No és causa del  vianant;Furgoneta;SERENA;NISSAN;Blau;B;18;4588153,68;429929,99
2013S000060;10;Sant Martí;70;el Besòs i el Maresme;186703;Llull;4 190 419;Divendres;Dv;Laboral;2013;1;Gener;4;8;No és causa del  vianant;Motocicleta;ELIMINATOR 125;KAWASAKI;Blau;B;12;4585275,24;434879,84
2013S000066;8;Nou Barris;51;Verdun;174307;Júlia;0105X0105X;Divendres;Dv;Laboral;2013;1;Gener;4;14;Desobeir el senyal del semàfor;Motocicleta;NEXUS;GILERA;Negre;A;17;4588369,77;431390,03
2013S000189;3;Sants-Montjuïc;11;el Poble Sec;135203;Foc;1 410 141;Dimecres;Dc;Laboral;2013;1;Gener;9;15;No és causa del  vianant;Turismo;CAYENNE;PORSCHE;Gris;B;4;4579288,48;429059,06
2013S000921;2;Eixample;8;l'Antiga Esquerra de l'Eixample;289105;Rosselló;1 820 182;Dimecres;Dc;Laboral;2013;2;Febrer;6;13;No és causa del  vianant;Furgoneta;TRANSIT;FORD;Blanc;B;7;4582880,11;429577,8
2013S005043;8;Nou Barris;44;Vilapicina i la Torre Llobeta;69109;Cartellà;1 300 130;Dijous;Dj;Laboral;2013;7;Juliol;11;10;No és causa del  vianant;Furgoneta;BERLINGO;CITROEN;Blanc;B;22;4586911,08;430583,09
2013S005047;8;Nou Barris;44;Vilapicina i la Torre Llobeta;119003;Fabra i Puig;1 810 181;Divendres;Dv;Laboral;2013;7;Juliol;5;19;No és causa del  vianant;Ciclomotor;SFX 50;HONDA;Gris;B;17;4587039,88;431371,36
2013S004731;2;Eixample;10;Sant Antoni;323203;Sepúlveda;0165B0165B;Dissabte;Ds;Laboral;2013;6;Juny;29;12;No és causa del  vianant;Motocicleta;SES 125;HONDA;Negre;B;11;4581830,74;430040,87
2013S004732;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;369204;Zamora;600 060;Dissabte;Ds;Laboral;2013;6;Juny;29;16;No és causa del  vianant;Taxi;OCTAVIA;SKODA;Altres;BTP;15;4583080;432533,74
2013S004853;2;Eixample;7;la Dreta de l'Eixample;191204;Mallorca;3 330 333;Dijous;Dj;Laboral;2013;7;Juliol;4;10;No és causa del  vianant;Motocicleta;SH 150;HONDA;Verd;A;33;4583662,68;430723,38
2013S004861;1;Ciutat Vella;2;el Barri Gòtic;34308;Rambla;1 400 140;Dijous;Dj;Laboral;2013;7;Juliol;4;15;Creuar per fora pas de vianants;Motocicleta;LIBERTY 125;PIAGGIO;Altres;B;10;4582059,18;430743,15
2013S004986;3;Sants-Montjuïc;12;la Marina del Prat Vermell;116140;Estació del Morrot;10 003;Dimarts;Dm;Laboral;2013;7;Juliol;9;14;No és causa del  vianant;Turismo;C4 PICASSO;CITROEN;Gris;B;18;4579706,06;430724,34
2013S004987;2;Eixample;8;l'Antiga Esquerra de l'Eixample;268003;Provença;1 630 163;Dimarts;Dm;Laboral;2013;7;Juliol;9;13;No és causa del  vianant;Motocicleta;T MAX;YAMAHA;Negre;A;12;4582614,33;429458,55
2013S003519;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;144601;Diagonal;6 020 602;Dilluns;Dl;Laboral;2013;5;Maig;13;18;No és causa del  vianant;Taxi;Altea;SEAT;Altres;BTP;9;4582928,11;428479,52
2013S003523;3;Sants-Montjuïc;14;la Font de la Guatlla;169409;Corts Catalanes;1 940 194;Dijous;Dj;Laboral;2013;5;Maig;16;8;No és causa del  vianant;Furgoneta;Bipper;PEUGEOT;Blanc;B;8;4580227,43;428247,16
2013S003657;3;Sants-Montjuïc;11;el Poble Sec;178400;Lleida;320 032;Dimecres;Dc;Laboral;2013;5;Maig;22;7;No és causa del  vianant;Camión <= 3,5 Tm;ATLEON 110;NISSAN;Blanc;C;5;4580745,96;429414,27
2013S001071;9;Sant Andreu;57;la Trinitat Vella;314100;Santa Coloma;0105U0105U;Dilluns;Dl;Laboral;2013;2;Febrer;11;20;No és causa del  vianant;Turismo;Altea;SEAT;Desconegut;Desconegut;Desconegut;4589277,91;433071,94
2013S001076;7;Horta-Guinardó;37;el Carmel;179901;Lisboa;770 077;Dimarts;Dm;Laboral;2013;2;Febrer;12;8;No és causa del  vianant;Turismo;MICRA;NISSAN;Blanc;B;3;4586779,98;429438,28
2013S002142;10;Sant Martí;72;Sant Martí de Provençals;30409;Bac de Roda;1 650 169;Divendres;Dv;Laboral;2013;3;Març;22;13;No és causa del  vianant;Turismo;IBIZA;SEAT;Vermell;B;7;4585070,9;432990,16
2013S002143;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;223606;Muntaner;5 610 561;Divendres;Dv;Laboral;2013;3;Març;22;13;No és causa del  vianant;Motocicleta;PK125;VESPA;Negre;A1;1;4584329,98;427774,44
2013S002144;2;Eixample;6;la Sagrada Família;268003;Provença;5 280 528;Divendres;Dv;Laboral;2013;3;Març;22;13;No és causa del  vianant;Turismo;C4;CITROEN;Verd;B;7;4584528,29;431453,12
2013S002272;2;Eixample;8;l'Antiga Esquerra de l'Eixample;144601;Diagonal;4 410 441;Dimecres;Dc;Laboral;2013;3;Març;27;17;No és causa del  vianant;Motocicleta;EN 500;KAWASAKI;Negre;A;9;4583024,22;429002,17
2013S002277;7;Horta-Guinardó;35;el Guinardó;332805;Telègraf;70 007;Dijous;Dj;Laboral;2013;3;Març;28;7;No és causa del  vianant;Furgoneta;EXPRESS;RENAULT;Blanc;B;16;4585514,6;431188,02
2013S002405;7;Horta-Guinardó;33;el Baix Guinardó;152905;Guinardó;490 051;Dimecres;Dc;Laboral;2013;4;Abril;3;20;No és causa del  vianant;Ciclomotor;TYPHOON 50;PIAGGIO;Gris;B;2;4585119,27;430431,25
2013S002411;5;Sarrià-Sant Gervasi;24;les Tres Torres;143904;General Mitre;790 079;Dijous;Dj;Laboral;2013;4;Abril;4;9;No és causa del  vianant;Camión <= 3,5 Tm;Desconegut;MERCEDES;Blanc;C;10;4583561,52;427631,9
2013S002413;8;Nou Barris;44;Vilapicina i la Torre Llobeta;24304;Arnau d'Oms;240 024;Dijous;Dj;Laboral;2013;4;Abril;4;14;No és causa del  vianant;Ciclomotor;SCOOPY 50;HONDA;Gris;AM;7;4586941,51;431367,8
2013S005258;10;Sant Martí;65;el Clot;42306;Bilbao;0220X0220X;Dijous;Dj;Laboral;2013;7;Juliol;18;22;No és causa del  vianant;Turismo;GOLF;VOLKSWAGEN;Gris;B;1;4584990,51;432540,41
2013S003207;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;701268;Dalt (Llobregat);850000;Divendres;Dv;Laboral;2013;5;Maig;3;15;No és causa del  vianant;Turismo;LEON;SEAT;Vermell;B;6;4584946,47;427143,16
2013S003207;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;701268;Dalt (Llobregat);850000;Divendres;Dv;Laboral;2013;5;Maig;3;15;No és causa del  vianant;Turismo;307;PEUGEOT;Gris;Desconegut;Desconegut;4584946,47;427143,16
2013S003207;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;701268;Dalt (Llobregat);850000;Divendres;Dv;Laboral;2013;5;Maig;3;15;No és causa del  vianant;Turismo;XSARA;CITROEN;Gris;Desconegut;Desconegut;4584946,47;427143,16
2013S003207;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;701268;Dalt (Llobregat);850000;Divendres;Dv;Laboral;2013;5;Maig;3;15;No és causa del  vianant;Turismo;TOLEDO;SEAT;Desconegut;Desconegut;Desconegut;4584946,47;427143,16
2013S002886;2;Eixample;9;la Nova Esquerra de l'Eixample;361406;Viladomat;1 750 177;Dilluns;Dl;Laboral;2013;4;Abril;22;12;No és causa del  vianant;Motocicleta;SH 150;HONDA;Altres;A;22;4581809,68;429262,36
2013S002886;2;Eixample;9;la Nova Esquerra de l'Eixample;361406;Viladomat;1 750 177;Dilluns;Dl;Laboral;2013;4;Abril;22;12;No és causa del  vianant;Camión <= 3,5 Tm;Desconegut;MERCEDES;Blanc;C;19;4581809,68;429262,36
2013S002886;2;Eixample;9;la Nova Esquerra de l'Eixample;361406;Viladomat;1 750 177;Dilluns;Dl;Laboral;2013;4;Abril;22;12;No és causa del  vianant;Maquinaria de obras;Desconegut;Desconegut;Desconegut;B;16;4581809,68;429262,36
2013S002887;3;Sants-Montjuïc;12;la Marina del Prat Vermell;180;A Zona Franca;930 093;Dilluns;Dl;Laboral;2013;4;Abril;22;14;No és causa del  vianant;Camión > 3,5 Tm;FT XF105;DAF-HERMANNS;Blanc;E C;6;4577319,72;428497,49
