Codi d'expedient;Codi districte;Nom districte;Codi barri;Nom barri;Codi carrer;Nom carrer;Num postal caption;Descripció dia setmana;Dia setmana;Descripció tipus dia;NK Any;Mes de any;Nom mes;Dia de mes;Hora de dia;Descripció causa vianant;Descripció tipus de vehicle;Descripció model;Descripció marca;Descripció color;Descripció carnet;Antiguitat carnet;Coordenada UTM (Y);Coordenada UTM (X)
2013S003321;9;Sant Andreu;61;la Sagrera;121402;Felip II;60 006;Dilluns;Dl;Laboral;2013;5;Maig;6;19;Altres;Motocicleta;SCARABEO 125;APRILIA;Platejat;A;34;4585510,18;432563,54
2013S000550;10;Sant Martí;67;la Vila Olímpica del Poblenou;701265;Litoral (Besòs);820000;Dimecres;Dc;Laboral;2013;1;Gener;23;17;No és causa del  vianant;Motocicleta;CYGNUS 125;YAMAHA;Negre;B;18;4582683,49;433269,63
2013S000552;10;Sant Martí;71;Provençals del Poblenou;701414;C-31;20780000;Dimecres;Dc;Laboral;2013;1;Gener;23;19;No és causa del  vianant;Turismo;320;BMW;Gris;B;21;4585460,09;433580,94
2013S000555;3;Sants-Montjuïc;18;Sants;30602;Badal;1 120 114;Dimecres;Dc;Laboral;2013;1;Gener;23;20;No és causa del  vianant;Motocicleta;SH 125;HONDA;Negre;A;22;4580521,15;427540,32
2013S006290;1;Ciutat Vella;2;el Barri Gòtic;86800;Comtal;340 034;Dijous;Dj;Laboral;2013;9;Setembre;5;16;No és causa del  vianant;Motocicleta;SCV100;HONDA;Gris;B;7;4582236,15;431083,18
2013S006437;7;Horta-Guinardó;36;la Font d'en Fargues;194406;Maragall;3 090 309;Dijous;Dj;Laboral;2013;9;Setembre;12;9;No és causa del  vianant;Bicicleta;Desconegut;BICING;Vermell;Desconegut;Desconegut;4586699,64;430739,93
2013S007236;10;Sant Martí;68;el Poblenou;249304;Pere IV;1 640 166;Divendres;Dv;Laboral;2013;10;Octubre;11;16;No és causa del  vianant;Motocicleta;PHANTEON;HONDA;Vermell;B;21;4583904,96;432994,52
2013S007237;4;Les Corts;21;Pedralbes;144601;Diagonal;6 940 696;Divendres;Dv;Laboral;2013;10;Octubre;11;18;No és causa del  vianant;Motocicleta;BONNEVILLE;TRIUMPH;Altres;A2;37;4582083,33;425819,56
2013S007243;7;Horta-Guinardó;33;el Baix Guinardó;178308;Lepant;3 690 369;Dissabte;Ds;Laboral;2013;10;Octubre;12;0;No és causa del  vianant;Motocicleta;SH 125;HONDA;Negre;B;20;4584737,08;430722,16
2013S007375;8;Nou Barris;44;Vilapicina i la Torre Llobeta;170907;Jota;70 007;Dijous;Dj;Laboral;2013;10;Octubre;17;14;No és causa del  vianant;Turismo;PRIUS;TOYOTA;Blanc;B;22;4586945,65;431857,35
2013S007376;3;Sants-Montjuïc;16;la Bordeta;160903;Ildefons Cerdà;70 007;Dijous;Dj;Laboral;2013;10;Octubre;17;17;No és causa del  vianant;Turismo;320;BMW;Gris;B;38;4579885,35;427810,63
2013S000006;3;Sants-Montjuïc;12;la Marina del Prat Vermell;701266;Litoral (Llobregat);1720000;Dimarts;Dm;Laboral;2013;1;Gener;1;5;No és causa del  vianant;Turismo;PRIMERA;NISSAN;Gris;B;4;4577279,25;427017,84
2013S000687;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;286504;Roger de Flor;2 650 265;Dilluns;Dl;Laboral;2013;1;Gener;28;20;No és causa del  vianant;Motocicleta;X Max;YAMAHA;Vermell;A;34;4584103,91;430390,25
2013S000688;2;Eixample;7;la Dreta de l'Eixample;232902;Urquinaona;120 013;Dilluns;Dl;Laboral;2013;1;Gener;28;20;No és causa del  vianant;Taxi;TOLEDO;SEAT;Groc;BTP;11;4582425,04;430908,25
2013S000830;9;Sant Andreu;57;la Trinitat Vella;701267;Dalt (Besòs);1590000;Diumenge;Dg;Laboral;2013;2;Febrer;3;2;No és causa del  vianant;Turismo;X6;BMW;Negre;B;24;4588906,94;432617,25
2013S000832;2;Eixample;8;l'Antiga Esquerra de l'Eixample;32700;Balmes;0167B0167B;Diumenge;Dg;Laboral;2013;2;Febrer;3;9;No és causa del  vianant;Motocicleta;Transalp;HONDA;Negre;A;34;4583163,71;429442,56
2013S000959;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;143904;General Mitre;1 830 183;Dijous;Dj;Laboral;2013;2;Febrer;7;13;No és causa del  vianant;Turismo;TOUAREG;VOLKSWAGEN;Altres;BTP;25;4584263,86;428333,14
2013S006702;2;Eixample;7;la Dreta de l'Eixample;309406;Sant Pere;550 055;Dissabte;Ds;Laboral;2013;9;Setembre;21;21;No és causa del  vianant;Autobús;CITYCLASS;IRISBUS;Groc;D;6;4582762,3;431482,46
2013S006834;7;Horta-Guinardó;43;Horta;97807;Dante Alighieri;10 003;Divendres;Dv;Laboral;2013;9;Setembre;27;7;No és causa del  vianant;Motocicleta;AN 400;SUZUKI;Negre;Desconegut;Desconegut;4586927,07;430100,29
2013S006839;8;Nou Barris;53;la Trinitat Nova;120807;Favència;2 630 263;Dijous;Dj;Laboral;2013;9;Setembre;26;10;No és causa del  vianant;Turismo;COROLLA;TOYOTA;Gris;B;17;4588858,96;431677,86
2013S005352;2;Eixample;5;el Fort Pienc;169409;Corts Catalanes;8 240 824;Dilluns;Dl;Laboral;2013;7;Juliol;22;18;No és causa del  vianant;Motocicleta;BANDIT;SUZUKI;Negre;A;6;4583817,71;431915,04
2013S005353;7;Horta-Guinardó;39;Sant Genís dels Agudells;148409;Sant Cugat;2 690 269;Dilluns;Dl;Laboral;2013;7;Juliol;22;19;No és causa del  vianant;Ciclomotor;SH 50;HONDA;Gris;AM;2;4587189,86;427688,77
2013S005488;8;Nou Barris;45;Porta;289852;Rosselló i Porcel;10 001;Dissabte;Ds;Laboral;2013;7;Juliol;27;9;No és causa del  vianant;Bicicleta;Desconegut;Desconegut;Desconegut;Desconegut;Desconegut;4587747,75;431849,89
2013S005492;6;Gràcia;30;la Salut;112004;Escorial;1 940 196;Dissabte;Ds;Laboral;2013;7;Juliol;27;13;No és causa del  vianant;Turismo;PUNTO;FIAT;Gris;B;8;4584975,04;429679,3
2013S000010;10;Sant Martí;72;Sant Martí de Provençals;3406;Agricultura;2 600 260;Dimarts;Dm;Laboral;2013;1;Gener;1;11;No és causa del  vianant;Turismo;AURIS;TOYOTA;Negre;B;37;4585756,57;433302,68
2013S000138;4;Les Corts;20;la Maternitat i Sant Ramon;244209;Joan XXIII;180 018;Dilluns;Dl;Laboral;2013;1;Gener;7;19;No és causa del  vianant;Turismo;PANDA;FIAT;Blau;B;2;4582066,07;426741,27
2013S000145;3;Sants-Montjuïc;12;la Marina del Prat Vermell;370000;Número 1 Zona Franca;110 011;Dimarts;Dm;Laboral;2013;1;Gener;8;6;No és causa del  vianant;Motocicleta;CBF 600;HONDA;Gris;A;31;4577685,05;428297,77
2013S000264;2;Eixample;8;l'Antiga Esquerra de l'Eixample;90502;Còrsega;2 490 249;Dissabte;Ds;Laboral;2013;1;Gener;12;10;No és causa del  vianant;Turismo;320;BMW;Blanc;Desconegut;Desconegut;4582920,02;429393,64
2013S000267;2;Eixample;6;la Sagrada Família;297001;Sant Antoni Maria Claret;1 900 190;Dissabte;Ds;Laboral;2013;1;Gener;12;12;No és causa del  vianant;Motocicleta;NHX 110;HONDA;Gris;B;15;4584787,69;430949,25
2013S000268;3;Sants-Montjuïc;18;Sants;280701;Rei Martí;420 042;Dissabte;Ds;Laboral;2013;1;Gener;12;14;No és causa del  vianant;Motocicleta;FORESIGHT 250 FES;HONDA;Violeta;A;20;4580869,48;428218,86
2013S000270;2;Eixample;7;la Dreta de l'Eixample;145003;Girona;130 013;Dissabte;Ds;Laboral;2013;1;Gener;12;16;Desobeir el senyal del semàfor;Motocicleta;GS 500 E;SUZUKI;Negre;A;4;4582753,42;431147,95
2013S000964;10;Sant Martí;67;la Vila Olímpica del Poblenou;369204;Zamora;0035X0035X;Dijous;Dj;Laboral;2013;2;Febrer;7;17;No és causa del  vianant;Bicicleta;Desconegut;Desconegut;Blau;Desconegut;Desconegut;4582920,56;432658,6
2013S000964;10;Sant Martí;67;la Vila Olímpica del Poblenou;369204;Zamora;0035X0035X;Dijous;Dj;Laboral;2013;2;Febrer;7;17;No és causa del  vianant;Furgoneta;BERLINGO;CITROEN;Blanc;B;21;4582920,56;432658,6
2013S000965;5;Sarrià-Sant Gervasi;24;les Tres Torres;28000;Augusta;2 620 262;Dijous;Dj;Laboral;2013;2;Febrer;7;18;No és causa del  vianant;Turismo;MULTIPLA;FIAT;Blau;B;13;4583500,88;427583,77
2013S006841;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;50202;Brusi;320 034;Divendres;Dv;Laboral;2013;9;Setembre;27;12;No és causa del  vianant;Turismo;306;PEUGEOT;Verd;B;26;4583723,28;428783,71
2013S006966;3;Sants-Montjuïc;13;la Marina de Port;137300;Foneria;540 054;Dimecres;Dc;Laboral;2013;10;Octubre;2;9;No és causa del  vianant;Turismo;CLIO;RENAULT;Gris;B;16;4579438,63;428253,61
2013S006974;2;Eixample;8;l'Antiga Esquerra de l'Eixample;55807;Francesc Macià;100 011;Diumenge;Dg;Laboral;2013;9;Setembre;29;21;No és causa del  vianant;Furgoneta;KANGOO;RENAULT;Blanc;B;27;4582893,84;428631,34
2013S007091;2;Eixample;8;l'Antiga Esquerra de l'Eixample;70607;Casanova;2 240 226;Diumenge;Dg;Laboral;2013;10;Octubre;6;21;No és causa del  vianant;Motocicleta;YP 125;YAMAHA;Negre;A1;4;4582860,85;429018,04
2013S007093;2;Eixample;10;Sant Antoni;87009;Comte Borrell;390 039;Diumenge;Dg;Laboral;2013;10;Octubre;6;22;No és causa del  vianant;Motocicleta;X-9;PIAGGIO;Negre;A;3;4581118,25;430123,69
2013S005764;3;Sants-Montjuïc;17;Sants - Badal;328808;Sugranyes;0002B0002B;Dimecres;Dc;Laboral;2013;8;Agost;7;17;No és causa del  vianant;Camión <= 3,5 Tm;ML 120;IVECO FIAT;Blanc;C1;28;4581003,33;427109,94
2013S005765;3;Sants-Montjuïc;11;el Poble Sec;198804;Paral·lel;1 010 101;Dimecres;Dc;Laboral;2013;8;Agost;7;17;No és causa del  vianant;Turismo;FOCUS;FORD;Negre;B;25;4580906,53;430106,85
2013S005765;3;Sants-Montjuïc;11;el Poble Sec;198804;Paral·lel;1 010 101;Dimecres;Dc;Laboral;2013;8;Agost;7;17;No és causa del  vianant;Ciclomotor;TYPHOON 50;PIAGGIO;Blau;Desconegut;Desconegut;4580906,53;430106,85
2013S005766;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;2 860 286;Dimecres;Dc;Laboral;2013;8;Agost;7;20;No és causa del  vianant;Turismo;FUSION;FORD;Blau;B;12;4582966,03;430434,86
2013S005903;2;Eixample;9;la Nova Esquerra de l'Eixample;349706;Comte d'Urgell;0075B0075B;Dimecres;Dc;Laboral;2013;8;Agost;14;21;No és causa del  vianant;Motocicleta;PCX;HONDA;Negre;B;9;4581829,7;429606,49
2013S005907;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;701629;Isaac Newton;20 002;Dijous;Dj;Laboral;2013;8;Agost;15;11;No és causa del  vianant;Turismo;MEGANE;RENAULT;Negre;B;7;4584894,88;427097,51
2013S007393;4;Les Corts;21;Pedralbes;333400;González Tablas;20 002;Divendres;Dv;Laboral;2013;10;Octubre;18;6;No és causa del  vianant;Turismo;AVEO;CHEVROLET;Blau;Desconegut;Desconegut;4582079,74;425749,23
2013S007394;1;Ciutat Vella;1;el Raval;250904;Pelai;120 012;Divendres;Dv;Laboral;2013;10;Octubre;18;6;No és causa del  vianant;Motocicleta;AN 125;SUZUKI;Negre;Desconegut;Desconegut;4582118,92;430333,08
2013S007396;2;Eixample;9;la Nova Esquerra de l'Eixample;169409;Corts Catalanes;5 210 521;Divendres;Dv;Laboral;2013;10;Octubre;18;9;No és causa del  vianant;Taxi;ALMERA;NISSAN;Altres;BTP;38;4581720,28;429697,48
2013S005367;6;Gràcia;31;la Vila de Gràcia;206403;Gran de Gràcia;1 340 136;Dimarts;Dm;Laboral;2013;7;Juliol;23;11;No és causa del  vianant;Furgoneta;SCUDO;FIAT;Blanc;B;25;4583888,26;429340,39
2013S005369;7;Horta-Guinardó;39;Sant Genís dels Agudells;295108;Samaria;0002U0002U;Dimarts;Dm;Laboral;2013;7;Juliol;23;12;No és causa del  vianant;Motocicleta;Streetfighter 848;DUCATI;Vermell;A2;18;4586177,62;428104
2013S005913;7;Horta-Guinardó;43;Horta;96203;Chapí;0071B0071B;Dijous;Dj;Laboral;2013;8;Agost;15;18;No és causa del  vianant;Motocicleta;SIXTEEN;SUZUKI;Gris;B;4;4587286,03;429840,21
2013S000399;10;Sant Martí;64;el Camp de l'Arpa del Clot;191204;Mallorca;6 140 614;Divendres;Dv;Laboral;2013;1;Gener;18;9;No és causa del  vianant;Ciclomotor;PEPE;BENELLI;Negre;AM;18;4584928,37;432050,78
2013S000400;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;320704;Sarrià;840 086;Divendres;Dv;Laboral;2013;1;Gener;18;10;No és causa del  vianant;Ciclomotor;50;HONDA;Blanc;B;29;4582803,94;427912,59
2013S000401;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;223606;Muntaner;4 070 409;Divendres;Dv;Laboral;2013;1;Gener;18;9;No és causa del  vianant;Turismo;V50;VOLVO;Negre;B;15;4583736,62;428317,06
2013S000536;9;Sant Andreu;60;Sant Andreu;209900;Meridiana;4 780 480;Dimecres;Dc;Laboral;2013;1;Gener;23;7;No és causa del  vianant;Turismo;LAGUNA;RENAULT;Gris;B;24;4587605,15;431953,53
2013S000669;3;Sants-Montjuïc;15;Hostafrancs;114000;Espanya;70 007;Dilluns;Dl;Laboral;2013;1;Gener;28;11;No és causa del  vianant;Taxi;Altea;SEAT;Altres;BTP;6;4580983,47;428873,64
2013S007224;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;701266;Litoral (Llobregat);610000;Divendres;Dv;Laboral;2013;10;Octubre;11;15;No és causa del  vianant;Turismo;C4 PICASSO;CITROEN;Gris;B;24;4584262,15;434659,53
2013S007226;2;Eixample;7;la Dreta de l'Eixample;247659;Pau Claris;960 096;Divendres;Dv;Laboral;2013;10;Octubre;11;15;No és causa del  vianant;Motocicleta;LIBERTY 125;PIAGGIO;Negre;A;6;4582633,59;430733,48
2013S007362;4;Les Corts;20;la Maternitat i Sant Ramon;343903;Corts;0045X0045X;Dimecres;Dc;Laboral;2013;10;Octubre;16;20;No és causa del  vianant;Turismo;PASSAT;VOLKSWAGEN;Gris;Desconegut;Desconegut;4581271,12;426587,42
2013S007363;6;Gràcia;28;Vallcarca i els Penitents;158107;Vallcarca;1 980 198;Dimecres;Dc;Laboral;2013;10;Octubre;16;23;No és causa del  vianant;Turismo;MEGANE;RENAULT;Negre;B;13;4585519,32;428393,47
2013S007253;2;Eixample;7;la Dreta de l'Eixample;144601;Diagonal;3 670 367;Dissabte;Ds;Laboral;2013;10;Octubre;12;13;No és causa del  vianant;Ciclomotor;SH 50;HONDA;Gris;AM;14;4583381,16;430097,02
2013S000166;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;196900;Marià Cubí;530 053;Dimarts;Dm;Laboral;2013;1;Gener;8;20;No és causa del  vianant;Turismo;C 220;MERCEDES;Desconegut;B;48;4583520,77;429015,76
2013S000167;2;Eixample;7;la Dreta de l'Eixample;342900;Trafalgar;370 037;Dimarts;Dm;Laboral;2013;1;Gener;8;22;No és causa del  vianant;Turismo;323;BMW;Gris;B;26;4582577,32;431288,7
2013S000168;2;Eixample;7;la Dreta de l'Eixample;144601;Diagonal;3 350 335;Dimarts;Dm;Laboral;2013;1;Gener;8;21;No és causa del  vianant;Turismo;CEE D;KIA;Blanc;B;7;4583529,15;430563,48
2013S000294;2;Eixample;8;l'Antiga Esquerra de l'Eixample;223606;Muntaner;2 120 212;Dilluns;Dl;Laboral;2013;1;Gener;14;13;No és causa del  vianant;Motocicleta;X-8;PIAGGIO;Negre;A1;12;4583004,07;429064,81
2013S000419;6;Gràcia;28;Vallcarca i els Penitents;216702;Mons;0003X0003X;Divendres;Dv;Laboral;2013;1;Gener;18;19;No és causa del  vianant;Motocicleta;FORESIGHT 250 FES;HONDA;Blanc;A;9;4585182,21;428607,04
2013S000422;5;Sarrià-Sant Gervasi;23;Sarrià;701267;Dalt (Besòs);790000;Divendres;Dv;Laboral;2013;1;Gener;18;20;No és causa del  vianant;Turismo;POLO;VOLKSWAGEN;Gris;B;Desconegut;4584537,17;426708,85
2013S006033;2;Eixample;9;la Nova Esquerra de l'Eixample;162002;Josep Tarradellas;620 062;Dijous;Dj;Laboral;2013;8;Agost;22;14;No és causa del  vianant;Motocicleta;FES 125;HONDA;Platejat;B;18;4582118,46;428435,67
2013S006170;8;Nou Barris;45;Porta;117609;Estudiant;70 007;Dissabte;Ds;Laboral;2013;8;Agost;31;16;No és causa del  vianant;Motocicleta;UH 125;SUZUKI;Blanc;A1;15;4587350,89;431303,53
2013S006296;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;143904;General Mitre;1 170 119;Dijous;Dj;Laboral;2013;9;Setembre;5;15;No és causa del  vianant;Furgoneta;DUCATO;FIAT;Blanc;B;10;4583904,05;427903,82
2013S006303;2;Eixample;8;l'Antiga Esquerra de l'Eixample;191204;Mallorca;1 580 158;Dijous;Dj;Laboral;2013;9;Setembre;5;21;No és causa del  vianant;Motocicleta;HD 200;SYM;Gris;A;9;4582373,41;429440,8
2013S000546;4;Les Corts;20;la Maternitat i Sant Ramon;244300;Pius XII;30 003;Dimecres;Dc;Laboral;2013;1;Gener;23;16;No és causa del  vianant;Motocicleta;T MAX;YAMAHA;Negre;A;3;4582287,81;426803,31
2013S000679;2;Eixample;6;la Sagrada Família;325005;Sicília;2 450 245;Dilluns;Dl;Laboral;2013;1;Gener;28;15;No és causa del  vianant;Turismo;ASTRA;OPEL;Blau;B;32;4583998,88;430861,75
2013S000681;6;Gràcia;28;Vallcarca i els Penitents;352507;Vall d'Hebron;590 063;Dilluns;Dl;Laboral;2013;1;Gener;28;14;No és causa del  vianant;Furgoneta;Bipper;PEUGEOT;Altres;B;10;4585885,9;428176,9
2013S000682;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;90105;Copèrnic;550 059;Dilluns;Dl;Laboral;2013;1;Gener;28;17;No és causa del  vianant;Turismo;CORSA;OPEL;Blanc;B;3;4583866,02;428319,29
2013S005468;9;Sant Andreu;60;Sant Andreu;52004;Borriana;990 099;Divendres;Dv;Laboral;2013;7;Juliol;26;18;No és causa del  vianant;Furgoneta;TRANSIT;FORD;Blanc;B;Desconegut;4587113,92;432708,1
2013S005469;2;Eixample;7;la Dreta de l'Eixample;89004;Consell de Cent;4 410 441;Divendres;Dv;Laboral;2013;7;Juliol;26;20;No és causa del  vianant;Motocicleta;SH 125;HONDA;Blanc;B;11;4583417,13;431044,96
2013S005470;9;Sant Andreu;62;el Congrés i els Indians;57904;Campo Florido;170 017;Divendres;Dv;Laboral;2013;7;Juliol;26;17;No és causa del  vianant;Ciclomotor;VITALITE 50;KYMCO;Blau;B;9;4586068,33;431716,33
2013S005611;3;Sants-Montjuïc;16;la Bordeta;169409;Corts Catalanes;1 810 247;Dijous;Dj;Laboral;2013;8;Agost;1;4;No és causa del  vianant;Furgoneta;Desconegut;Desconegut;Blanc;Desconegut;Desconegut;4580298,21;428244,45
2013S005612;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;321605;Secretari Coloma;520 052;Dijous;Dj;Laboral;2013;8;Agost;1;8;No és causa del  vianant;Taxi;ULYSSE;FIAT;Altres;BTP;29;4584658,61;430223,85
2013S005745;2;Eixample;7;la Dreta de l'Eixample;278459;Reina Victòria;99 989 998;Dimarts;Dm;Laboral;2013;8;Agost;6;22;No és causa del  vianant;Turismo;RAV - 4;TOYOTA;Altres;B;10;4582492,24;430534,35
2013S005746;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;2 440 248;Dimecres;Dc;Laboral;2013;8;Agost;7;8;No és causa del  vianant;Turismo;TOUAREG;VOLKSWAGEN;Negre;B;21;4582618,97;430080,45
2013S006318;2;Eixample;7;la Dreta de l'Eixample;335100;Tetuan;350 035;Divendres;Dv;Laboral;2013;9;Setembre;6;13;No és causa del  vianant;Turismo;4;RENAULT;Blanc;B;46;4583219,68;431229,48
2013S006319;10;Sant Martí;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret;2 760 276;Divendres;Dv;Laboral;2013;9;Setembre;6;13;No és causa del  vianant;Turismo;X-TRAIL;NISSAN;Blau;B;49;4585157,83;431328
2013S006459;9;Sant Andreu;63;Navas;115603;Espronceda;0328B0328B;Dijous;Dj;Laboral;2013;9;Setembre;12;14;No és causa del  vianant;Turismo;500;FIAT;Blanc;B;4;4585608,29;432324,35
2013S006460;4;Les Corts;19;les Corts;162002;Josep Tarradellas;1 590 161;Dijous;Dj;Laboral;2013;9;Setembre;12;17;Creuar per fora pas de vianants;Turismo;SWIFT;SUZUKI;Negre;B;1;4582833,35;428519,66
2013S006593;7;Horta-Guinardó;36;la Font d'en Fargues;121005;Frederic Rahola;240 026;Dimecres;Dc;Laboral;2013;9;Setembre;18;12;No és causa del  vianant;Turismo;FIESTA;FORD;Negre;B;4;4586563,84;430310,64
2013S005503;4;Les Corts;19;les Corts;231502;Numància;1 200 122;Dissabte;Ds;Laboral;2013;7;Juliol;27;22;No és causa del  vianant;Turismo;PUNTO;FIAT;Negre;B;10;4582264,69;427813,62
2013S005504;8;Nou Barris;50;les Roquetes;165703;Jaume Pinent;110 011;Dissabte;Ds;Laboral;2013;7;Juliol;27;22;No és causa del  vianant;Turismo;IBIZA;SEAT;Altres;B;2;4588801,77;431290,84
2013S005507;9;Sant Andreu;57;la Trinitat Vella;209900;Meridiana;0694X0694X;Diumenge;Dg;Laboral;2013;7;Juliol;28;13;No és causa del  vianant;Furgoneta;PRIMASTAR;NISSAN;Blanc;B;1;4589136,09;432323,88
2013S005642;2;Eixample;7;la Dreta de l'Eixample;148307;Gràcia;330 033;Dijous;Dj;Laboral;2013;8;Agost;1;22;No és causa del  vianant;Motocicleta;SH 100;HONDA;Gris;B;33;4582692,06;430363,96
2013S005647;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;3 290 329;Divendres;Dv;Laboral;2013;8;Agost;2;7;No és causa del  vianant;Motocicleta;CB 250 TWO FIFTY;HONDA;Gris;A;34;4583298,75;430728,78
2013S007373;8;Nou Barris;52;la Prosperitat;120807;Favència;0444X0444X;Dijous;Dj;Laboral;2013;10;Octubre;17;13;No és causa del  vianant;Camión <= 3,5 Tm;CABSTAR;NISSAN;Blanc;B;12;4588858,94;432044
2013S005359;7;Horta-Guinardó;41;la Vall d'Hebron;701268;Dalt (Llobregat);1090000;Dimarts;Dm;Laboral;2013;7;Juliol;23;6;No és causa del  vianant;Turismo;GOLF;VOLKSWAGEN;Blau;B;7;4586736,88;428530,94
2013S005362;8;Nou Barris;44;Vilapicina i la Torre Llobeta;69109;Cartellà;1 300 130;Dimarts;Dm;Laboral;2013;7;Juliol;23;10;No és causa del  vianant;Turismo;KALOS;CHEVROLET;Vermell;B;16;4586911,08;430583,09
2013S005477;10;Sant Martí;68;el Poblenou;701265;Litoral (Besòs);760000;Divendres;Dv;Laboral;2013;7;Juliol;26;22;No és causa del  vianant;Turismo;GOLF;VOLKSWAGEN;Negre;B;1;4583102,38;433705,19
2013S005477;10;Sant Martí;68;el Poblenou;701265;Litoral (Besòs);760000;Divendres;Dv;Laboral;2013;7;Juliol;26;22;No és causa del  vianant;Turismo;308;PEUGEOT;Gris;B;36;4583102,38;433705,19
2013S005483;7;Horta-Guinardó;37;el Carmel;248800;Pedrell;1 920 202;Divendres;Dv;Laboral;2013;7;Juliol;26;7;No és causa del  vianant;Motocicleta;SH 300;HONDA;Altres;B;Desconegut;4586281,31;429781,84
2013S005916;2;Eixample;7;la Dreta de l'Eixample;31300;Bailèn;640 064;Dijous;Dj;Laboral;2013;8;Agost;15;21;No és causa del  vianant;Bicicleta;Desconegut;Desconegut;Altres;Desconegut;Desconegut;4583174,63;430953,89
2013S005917;7;Horta-Guinardó;41;la Vall d'Hebron;700825;Granja Vella;170 017;Dijous;Dj;Laboral;2013;8;Agost;15;21;No és causa del  vianant;Turismo;SCENIC;RENAULT;Negre;B;8;4586713,94;428612,36
2013S006053;2;Eixample;9;la Nova Esquerra de l'Eixample;87009;Comte Borrell;1 760 176;Divendres;Dv;Laboral;2013;8;Agost;23;14;No és causa del  vianant;Ciclomotor;LIBERTY 50;PIAGGIO;Gris;AM;3;4581924,6;429377,92
2013S006056;10;Sant Martí;64;el Camp de l'Arpa del Clot;209900;Meridiana;0135B0135B;Divendres;Dv;Laboral;2013;8;Agost;23;14;No és causa del  vianant;Ciclomotor;SH 50;HONDA;Gris;AM;20;4584770,47;432107,33
2013S006056;10;Sant Martí;64;el Camp de l'Arpa del Clot;209900;Meridiana;0135B0135B;Divendres;Dv;Laboral;2013;8;Agost;23;14;No és causa del  vianant;Turismo;FABIA;SKODA;Blanc;B;32;4584770,47;432107,33
2013S005887;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;214106;Modolell;320 032;Dimecres;Dc;Laboral;2013;8;Agost;14;10;No és causa del  vianant;Turismo;MINI COOPER;MINI;Gris;B;19;4583545,47;427993,36
2013S005890;3;Sants-Montjuïc;16;la Bordeta;169409;Corts Catalanes;1 490 151;Dimecres;Dc;Laboral;2013;8;Agost;14;12;No és causa del  vianant;Turismo;GOLF;VOLKSWAGEN;Vermell;B;11;4579972,14;427911,74
2013S006028;6;Gràcia;28;Vallcarca i els Penitents;230000;Mare de Déu del Coll;270 027;Dijous;Dj;Laboral;2013;8;Agost;22;10;No és causa del  vianant;Turismo;C4;CITROEN;Blanc;Desconegut;Desconegut;4585378,43;428646,61
2013S006030;2;Eixample;6;la Sagrada Família;350308;València;4 790 483;Dijous;Dj;Laboral;2013;8;Agost;22;11;No és causa del  vianant;Turismo;SCENIC;RENAULT;Negre;Desconegut;Desconegut;4584165,4;431431,26
2013S006723;10;Sant Martí;71;Provençals del Poblenou;701414;C-31;20830000;Diumenge;Dg;Laboral;2013;9;Setembre;22;21;No és causa del  vianant;Furgoneta;TRANSIT;FORD;Blanc;B;7;4585808,01;433936,57
2013S006725;5;Sarrià-Sant Gervasi;24;les Tres Torres;51500;Buïgas;30 003;Diumenge;Dg;Laboral;2013;9;Setembre;22;21;Creuar per fora pas de vianants;Turismo;118;BMW;Negre;B;31;4583008,19;427283,19
2013S006859;4;Les Corts;20;la Maternitat i Sant Ramon;343903;Corts;820 082;Divendres;Dv;Laboral;2013;9;Setembre;27;20;No és causa del  vianant;Bicicleta;Desconegut;Desconegut;Desconegut;Desconegut;Desconegut;4581395,14;426777,79
2013S006861;1;Ciutat Vella;3;la Barceloneta;701266;Litoral (Llobregat);880000;Divendres;Dv;Laboral;2013;9;Setembre;27;20;No és causa del  vianant;Camión <= 3,5 Tm;Daily;IVECO FIAT;Blanc;C;18;4582277,95;432826,97
2013S006866;9;Sant Andreu;60;Sant Andreu;700987;Modernitat;10 001;Dissabte;Ds;Laboral;2013;9;Setembre;28;11;No és causa del  vianant;Taxi;Altea;SEAT;Altres;BTP;3;4588801,74;432625,37
2013S006867;2;Eixample;8;l'Antiga Esquerra de l'Eixample;32700;Balmes;1 310 131;Dissabte;Ds;Laboral;2013;9;Setembre;28;13;No és causa del  vianant;Turismo;C2;CITROEN;Vermell;B;24;4582977,62;429621,96
